"Tidsmerke","Have you signed the consent form?","How old are you?","Gender","Education","What is your occupation? If you are a student, please state the category most fitting to your study. Don't answer if you're not working.","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","Do you have any additional feedback on the contents of the videos? What is your general impression? Any feedback is welcome. Du kan skrive på norsk om du vil."
"2021/11/18 5:41:16 p.m. CET","Yes","Older than 65","Male","Primary school","Shipping","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Moderately noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying",""
"2021/11/18 6:34:03 p.m. CET","Yes","25 - 34","Female","Master's degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying","Kult prosjekt, ønsker mer variasjon i dansemoves til neste gang.  "
"2021/11/19 9:41:00 a.m. CET","Yes","55 - 64","Male","Bachelor's degree","Sales and service","Moderately satisfied","Very noticable","Very annoying","Very satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying",""
"2021/11/19 11:13:21 a.m. CET","Yes","25 - 34","Female","Master's degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/19 12:18:25 p.m. CET","Yes","18 - 24","Female","High school or equivalent","Health","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying",""
"2021/11/19 2:53:17 p.m. CET","Yes","18 - 24","Female","Some higher education, no degree","Health","Slightly satisfied","Moderately noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Very satisfied","Slightly noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Dette var et arti eksperiment med godt gjennomført spørreskjema og gode svaralternativer. Lurte kun på om fargene på klærne burde vært den samme? "
"2021/11/20 2:55:40 p.m. CET","Yes","Under 18","Male","High school or equivalent","Industry","Slightly satisfied","Extremely noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Slightly satisfied","Very noticable","Moderately annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying",""
"2021/11/20 3:27:35 p.m. CET","Yes","18 - 24","Male","Master's degree","Electronics","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Blinking er mest irriterende"
"2021/11/21 1:56:20 p.m. CET","Yes","18 - 24","Male","Master's degree","Electronics","Moderately satisfied","Very noticable","Slightly annoying","Completely satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Moderately noticable","Slightly annoying","Very satisfied","Moderately noticable","Slightly annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Svært interessant :D"
"2021/11/21 7:02:46 p.m. CET","Yes","55 - 64","Male","Two year-degree","Aviation","Very satisfied","Very noticable","Moderately annoying","Very satisfied","Moderately noticable","Slightly annoying","Very satisfied","Very noticable","Very annoying","Moderately satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying","Nice presentation. Impressed our the video quality."
"2021/11/23 11:16:52 a.m. CET","Yes","25 - 34","Male","Master's degree","Technology","Moderately satisfied","Moderately noticable","Slightly annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying",""
"2021/11/24 6:12:25 p.m. CET","Yes","55 - 64","Male","Some higher education, no degree","Oil, gass and energy","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying",""
"2021/11/25 10:45:55 a.m. CET","Yes","18 - 24","Female","Master's degree","Economics","Not at all satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Moderately noticable","Slightly annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Not at all satisfied","Very noticable","Very annoying",""
"2021/11/25 4:32:37 p.m. CET","Yes","25 - 34","Male","Bachelor's degree","Construction","Slightly satisfied","Extremely noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Slightly noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying",""
"2021/11/27 2:46:27 p.m. CET","Yes","25 - 34","Male","Master's degree","Electronics","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying",""
"2021/11/27 2:46:43 p.m. CET","Yes","25 - 34","Male","Bachelor's degree","Fishing and aquaculture","Moderately satisfied","Very noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Extremely noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying",""
"2021/11/27 2:54:28 p.m. CET","Yes","18 - 24","Male","Bachelor's degree","Electronics","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Seems that in some videos the silhouette extractor works very well, but on what seems to be identical tests the extractor also struggles a lot, even when the object wears identical clothes."
"2021/11/27 3:35:10 p.m. CET","Yes","18 - 24","Female","Some higher education, no degree","Design","Moderately satisfied","Very noticable","Slightly annoying","Completely satisfied","Slightly noticable","Not at all annoying","Very satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Extremely annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Extremely noticable","Extremely annoying","V beautiful videos. This could be an art exhibition<33"
"2021/11/27 4:42:41 p.m. CET","Yes","45 - 54","Female","Bachelor's degree","Pedagogy","Very satisfied","Very noticable","Very annoying","Very satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Not at all annoying","Slightly satisfied","Very noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/27 7:01:19 p.m. CET","Yes","55 - 64","Male","Master's degree","Climate and environment","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Not at all satisfied","Very noticable","Extremely annoying","Slightly satisfied","Very noticable","Very annoying","Interesting work! Looking forward to read the final thesis"
"2021/11/28 12:03:29 p.m. CET","Yes","18 - 24","Male","Master's degree","Design","Moderately satisfied","Moderately noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying",""
"2021/11/28 12:43:39 p.m. CET","Yes","55 - 64","Female","Some higher education, no degree","Health","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","","Slightly satisfied","Slightly noticable","Slightly annoying","Very satisfied","Very noticable","Not at all annoying","Very satisfied","Very noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Not at all annoying",""
"2021/11/28 7:29:54 p.m. CET","Yes","25 - 34","Male","Master's degree","IT and computers","Moderately satisfied","Very noticable","Slightly annoying","Completely satisfied","Slightly noticable","Not at all annoying","Very satisfied","Very noticable","Moderately annoying","Moderately satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Extremely noticable","Moderately annoying","Very satisfied","Moderately noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Slightly noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Very satisfied","Moderately noticable","Slightly annoying",""
"2021/11/28 9:04:49 p.m. CET","Yes","55 - 64","Male","Master's degree","Electronics","Moderately satisfied","Very noticable","Slightly annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Moderately noticable","Slightly annoying",""
"2021/11/29 12:25:18 p.m. CET","Yes","18 - 24","Female","Bachelor's degree","History","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Slightly noticable","Slightly annoying","Very satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying",""
"2021/11/29 3:25:51 p.m. CET","Yes","25 - 34","Female","Bachelor's degree","People","Moderately satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Extremely annoying","Moderately satisfied","Very noticable","Very annoying",""
"2021/11/29 7:17:09 p.m. CET","Yes","55 - 64","Female","Bachelor's degree","Health","Moderately satisfied","Slightly noticable","Moderately annoying","Very satisfied","Not at all noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Very satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/29 9:00:03 p.m. CET","Yes","45 - 54","Female","Bachelor's degree","Economics","Moderately satisfied","Extremely noticable","Moderately annoying","Slightly satisfied","Moderately noticable","Slightly annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Slightly satisfied","Moderately noticable","Slightly annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Very annoying",""
"2021/11/29 9:28:37 p.m. CET","Yes","45 - 54","Female","Master's degree","Pedagogy","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying",""
"2021/11/30 7:58:44 p.m. CET","Yes","45 - 54","Female","Bachelor's degree","Pedagogy","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Very satisfied","Very noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""